GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NAME,PTS
22500199,1610612764,WAS,,,135.0
22500200,1610612757,POR,,,112.0
22500201,1610612739,CLE,,,138.0
22500202,1610612759,SAS,,,121.0
22500203,1610612749,MIL,,,116.0
22500204,1610612740,NOP,,,98.0
22500205,1610612750,MIN,,,120.0
22500206,1610612737,ATL,,,105.0
22500212,1610612758,SAC,,,
22500207,1610612751,BKN,,,109.0
22500208,1610612752,NYK,,,133.0
22500209,1610612755,PHI,,,102.0
22500210,1610612760,OKC,,,126.0
22500211,1610612762,UTA,,,152.0
22500212,1610612743,DEN,,,
22500207,1610612761,TOR,,,119.0
22500208,1610612763,MEM,,,120.0
22500209,1610612738,BOS,,,100.0
22500210,1610612744,GSW,,,102.0
22500211,1610612754,IND,,,128.0
22500213,1610612766,CHA,,,111.0
22500214,1610612765,DET,,,124.0
22500215,1610612752,NYK,,,107.0
22500216,1610612738,BOS,,,131.0
22500217,1610612748,MIA,,,116.0
22500218,1610612745,HOU,,,135.0
22500219,1610612740,NOP,,,117.0
22500220,1610612759,SAS,,,120.0
22500221,1610612742,DAL,,,114.0
22500222,1610612760,OKC,,,121.0
22500223,1610612758,SAC,,,100.0
22500224,1610612746,LAC,,,116.0
22500213,1610612749,MIL,,,100.0
22500214,1610612741,CHI,,,113.0
22500215,1610612753,ORL,,,124.0
22500216,1610612763,MEM,,,95.0
22500217,1610612739,CLE,,,130.0
22500218,1610612764,WAS,,,112.0
22500219,1610612757,POR,,,125.0
22500220,1610612744,GSW,,,125.0
22500221,1610612756,PHX,,,123.0
22500222,1610612747,LAL,,,92.0
22500223,1610612737,ATL,,,133.0
22500224,1610612743,DEN,,,130.0
22500225,1610612739,CLE,,,113.0
22500226,1610612756,PHX,,,133.0
22500227,1610612762,UTA,,,122.0
22500225,1610612761,TOR,,,126.0
22500226,1610612754,IND,,,98.0
22500227,1610612737,ATL,,,132.0
22500233,1610612738,BOS,,,121.0
22500234,1610612759,SAS,,,123.0
22500235,1610612764,WAS,,,106.0
22500233,1610612746,LAC,,,118.0
22500234,1610612758,SAC,,,110.0
22500235,1610612751,BKN,,,129.0
22500236,1610612745,HOU,,,117.0
22500237,1610612740,NOP,,,106.0
22500238,1610612742,DAL,,,138.0
22500239,1610612756,PHX,,,122.0
22500240,1610612762,UTA,,,150.0
22500236,1610612753,ORL,,,113.0
22500237,1610612744,GSW,,,124.0
22500238,1610612757,POR,,,133.0
22500239,1610612737,ATL,,,124.0
22500240,1610612741,CHI,,,147.0
22500241,1610612739,CLE,,,118.0
22500242,1610612765,DET,,,127.0
22500243,1610612755,PHI,,,110.0
22500244,1610612748,MIA,,,115.0
22500245,1610612761,TOR,,,110.0
22500246,1610612750,MIN,,,120.0
22500247,1610612740,NOP,,,109.0
22500248,1610612743,DEN,,,127.0
22500241,1610612749,MIL,,,106.0
22500242,1610612754,IND,,,112.0
22500243,1610612746,LAC,,,108.0
22500244,1610612752,NYK,,,113.0
22500245,1610612766,CHA,,,108.0
22500246,1610612742,DAL,,,96.0
22500247,1610612760,OKC,,,126.0
22500248,1610612741,CHI,,,130.0
22500249,1610612753,ORL,,,121.0
22500250,1610612751,BKN,,,99.0
22500251,1610612737,ATL,,,112.0
22500252,1610612759,SAS,,,111.0
22500253,1610612747,LAL,,,140.0
22500254,1610612757,POR,,,110.0
22500249,1610612744,GSW,,,113.0
22500250,1610612738,BOS,,,113.0
22500251,1610612765,DET,,,120.0
22500252,1610612763,MEM,,,101.0
22500253,1610612762,UTA,,,126.0
22500254,1610612756,PHX,,,127.0
22500255,1610612739,CLE,,,104.0
22500256,1610612754,IND,,,127.0
22500258,1610612755,PHI,,,112.0
22500257,1610612748,MIA,,,110.0
22500259,1610612750,MIN,,,120.0
22500260,1610612740,NOP,,,118.0
22500261,1610612760,OKC,,,113.0
22500262,1610612742,DAL,,,111.0
22500263,1610612757,POR,,,121.0
22500255,1610612745,HOU,,,114.0
22500256,1610612766,CHA,,,118.0
22500258,1610612761,TOR,,,121.0
22500257,1610612744,GSW,,,96.0
22500259,1610612764,WAS,,,109.0
22500260,1610612743,DEN,,,125.0
22500261,1610612758,SAC,,,99.0
22500262,1610612752,NYK,,,113.0
22500263,1610612741,CHI,,,122.0
22500264,1610612753,ORL,,,129.0
22500265,1610612763,MEM,,,137.0
22500266,1610612749,MIL,,,114.0
22500267,1610612759,SAS,,,135.0
22500264,1610612746,LAC,,,101.0
22500265,1610612758,SAC,,,96.0
22500266,1610612755,PHI,,,123.0
22500267,1610612737,ATL,,,126.0
22500048,1610612739,CLE,,,120.0
22500049,1610612738,BOS,,,105.0
22500050,1610612761,TOR,,,140.0
22500051,1610612741,CHI,,,107.0
22500052,1610612742,DAL,,,118.0
22500053,1610612756,PHX,,,114.0
22500054,1610612745,HOU,,,109.0
22500055,1610612762,UTA,,,112.0
22500056,1610612744,GSW,,,123.0
22500048,1610612754,IND,,,109.0
22500049,1610612751,BKN,,,113.0
22500050,1610612764,WAS,,,110.0
22500051,1610612748,MIA,,,143.0
22500052,1610612740,NOP,,,115.0
22500053,1610612750,MIN,,,113.0
22500054,1610612743,DEN,,,112.0
22500055,1610612760,OKC,,,144.0
22500056,1610612757,POR,,,127.0
22500268,1610612766,CHA,,,116.0
22500269,1610612753,ORL,,,133.0
22500268,1610612746,LAC,,,131.0
22500269,1610612752,NYK,,,121.0
22500270,1610612740,NOP,,,98.0
22500271,1610612741,CHI,,,121.0
22500272,1610612749,MIL,,,116.0
22500273,1610612742,DAL,,,96.0
22500274,1610612743,DEN,,,123.0
22500270,1610612737,ATL,,,115.0
22500271,1610612764,WAS,,,120.0
22500272,1610612765,DET,,,129.0
22500273,1610612763,MEM,,,102.0
22500274,1610612758,SAC,,,128.0
22500275,1610612755,PHI,,,117.0
22500276,1610612737,ATL,,,113.0
22500277,1610612738,BOS,,,138.0
22500278,1610612739,CLE,,,120.0
22500279,1610612761,TOR,,,119.0
22500275,1610612748,MIA,,,127.0
22500276,1610612766,CHA,,,110.0
22500277,1610612753,ORL,,,129.0
22500278,1610612746,LAC,,,105.0
22500279,1610612751,BKN,,,109.0
22500280,1610612760,OKC,,,122.0
22500281,1610612756,PHX,,,111.0
22500282,1610612762,UTA,,,106.0
22500280,1610612757,POR,,,95.0
22500281,1610612759,SAS,,,102.0
22500282,1610612747,LAL,,,108.0
